Fund_Name,Category,AMC,Risk_Level,Rating,Return_1Y,Return_3Y,Return_5Y,Expense_Ratio,Min_SIP,Volatility
Tata Corporate Bond Fund - Regular Plan 205,Debt - Corporate Bond,Tata,Moderate,4,2.95,6.44,7.19,0.38,100,0.04
Parag Parikh Large Cap Fund - Regular Plan 206,Equity - Large Cap,Parag Parikh,Moderately High,4,21.29,22.85,23.39,0.14,500,0.229
Parag Parikh Large Cap Fund - Regular Plan 207,Equity - Large Cap,Parag Parikh,Moderately High,5,18.17,15.67,12.87,0.84,1000,0.233
Kotak Aggressive Fund - Regular Plan 208,Hybrid - Aggressive,Kotak,High,3,19.03,16.19,16.57,1.47,100,0.097
Kotak Corporate Bond Fund - Regular Plan 209,Debt - Corporate Bond,Kotak,Moderate,4,11.33,3.96,7.65,0.47,500,0.025
SBI Large Cap Fund - Regular Plan 210,Equity - Large Cap,SBI,Moderately High,5,10.24,13.81,12.57,0.14,500,0.226
Nippon India Short Duration Fund - Regular Plan 211,Debt - Short Duration,Nippon India,Moderate,5,5.5,4.53,5.55,0.14,500,0.03
Quant Aggressive Fund - Regular Plan 212,Hybrid - Aggressive,Quant,High,4,12.54,13.41,16.19,0.2,1000,0.1
DSP Aggressive Fund - Regular Plan 213,Hybrid - Aggressive,DSP,High,5,18.82,15.97,14.42,0.68,1000,0.124
Mirae Asset Aggressive Fund - Regular Plan 214,Hybrid - Aggressive,Mirae Asset,High,4,13.25,15.54,14.77,0.39,100,0.114
Parag Parikh Flexi Cap Fund - Regular Plan 215,Equity - Flexi Cap,Parag Parikh,Moderately High,5,21.3,15.47,18.56,1.32,100,0.174
Axis Mid Cap Fund - Regular Plan 216,Equity - Mid Cap,Axis,High,5,23.01,21.85,22.43,1.43,100,0.232
ICICI Prudential Corporate Bond Fund - Regular Plan 217,Debt - Corporate Bond,ICICI Prudential,Moderate,5,12.77,6.18,7.82,1.01,100,0.042
Axis Gilt Fund - Regular Plan 218,Debt - Gilt,Axis,Moderate,5,9.69,7.99,7.04,0.93,500,0.024
SBI Gilt Fund - Regular Plan 219,Debt - Gilt,SBI,Moderate,4,9.6,11.04,8.76,0.81,1000,0.041
Nippon India Mid Cap Fund - Regular Plan 220,Equity - Mid Cap,Nippon India,High,4,10.61,13.51,12.25,0.33,500,0.186
ICICI Prudential Flexi Cap Fund - Regular Plan 221,Equity - Flexi Cap,ICICI Prudential,Moderately High,4,13.78,19.11,17.38,0.18,100,0.19
SBI Gilt Fund - Regular Plan 222,Debt - Gilt,SBI,Moderate,5,12.13,9.35,7.61,1.17,100,0.042
Parag Parikh Liquid Fund - Regular Plan 223,Debt - Liquid,Parag Parikh,Low,4,10.87,5.98,4.41,1.18,100,0.021
Mirae Asset Gilt Fund - Regular Plan 224,Debt - Gilt,Mirae Asset,Moderate,4,2.77,3.66,5.96,0.22,500,0.048
Quant Large Cap Fund - Regular Plan 225,Equity - Large Cap,Quant,Moderately High,5,24.71,22.41,22.83,1.49,100,0.222
Tata Corporate Bond Fund - Regular Plan 226,Debt - Corporate Bond,Tata,Moderate,5,9.12,6.77,4.66,0.54,100,0.042
HDFC Corporate Bond Fund - Regular Plan 227,Debt - Corporate Bond,HDFC,Moderate,5,9.9,9.8,9.24,0.9,100,0.04
Parag Parikh Balanced Advantage Fund - Regular Plan 228,Hybrid - Balanced Advantage,Parag Parikh,High,5,10.12,9.89,11.59,0.39,500,0.128
Quant Liquid Fund - Regular Plan 229,Debt - Liquid,Quant,Low,4,7.85,8.35,8.48,0.41,100,0.021
Parag Parikh Balanced Advantage Fund - Regular Plan 230,Hybrid - Balanced Advantage,Parag Parikh,High,5,9.72,8.64,8.75,0.86,1000,0.12
Quant Small Cap Fund - Regular Plan 231,Equity - Small Cap,Quant,Very High,4,20.74,18.63,16.88,1.21,1000,0.18
Mirae Asset Large Cap Fund - Regular Plan 232,Equity - Large Cap,Mirae Asset,Moderately High,4,23.79,21.85,19.45,0.72,100,0.16
SBI Flexi Cap Fund - Regular Plan 233,Equity - Flexi Cap,SBI,Moderately High,4,19.18,15.65,15.08,0.11,500,0.171
Mirae Asset Large Cap Fund - Regular Plan 234,Equity - Large Cap,Mirae Asset,Moderately High,5,15.64,13.03,13.44,1.28,1000,0.24
UTI Mid Cap Fund - Regular Plan 235,Equity - Mid Cap,UTI,High,5,17.73,16.98,15.33,1.24,1000,0.202
SBI Corporate Bond Fund - Regular Plan 236,Debt - Corporate Bond,SBI,Moderate,5,12.31,8.6,9.64,0.26,100,0.045
Kotak Small Cap Fund - Regular Plan 237,Equity - Small Cap,Kotak,Very High,4,27.81,22.25,21.97,0.48,100,0.235
Tata Gilt Fund - Regular Plan 238,Debt - Gilt,Tata,Moderate,5,3.05,6.59,6.05,0.2,500,0.033
ICICI Prudential Short Duration Fund - Regular Plan 239,Debt - Short Duration,ICICI Prudential,Moderate,4,9.55,9.24,7.32,0.2,1000,0.037
Axis Large Cap Fund - Regular Plan 240,Equity - Large Cap,Axis,Moderately High,5,20.34,17.94,16.77,0.73,1000,0.237
ICICI Prudential Large Cap Fund - Regular Plan 241,Equity - Large Cap,ICICI Prudential,Moderately High,3,13.71,18.73,16.96,0.4,100,0.17
Kotak Small Cap Fund - Regular Plan 242,Equity - Small Cap,Kotak,Very High,5,26.33,20.2,20.29,1.1,1000,0.162
Tata Aggressive Fund - Regular Plan 243,Hybrid - Aggressive,Tata,High,4,15.97,11.52,11.83,0.68,100,0.113
DSP Short Duration Fund - Regular Plan 244,Debt - Short Duration,DSP,Moderate,3,12.08,9.42,6.64,1.46,100,0.03
ICICI Prudential Liquid Fund - Regular Plan 245,Debt - Liquid,ICICI Prudential,Low,4,2.41,5.94,5.6,1.1,100,0.029
ICICI Prudential Large Cap Fund - Regular Plan 246,Equity - Large Cap,ICICI Prudential,Moderately High,5,19.29,22.26,22.1,1.09,500,0.166
Tata Mid Cap Fund - Regular Plan 247,Equity - Mid Cap,Tata,High,4,23.36,21.55,22.61,1.25,500,0.223
Kotak Balanced Advantage Fund - Regular Plan 248,Hybrid - Balanced Advantage,Kotak,High,4,17.24,14.68,13.73,0.79,500,0.133
DSP Small Cap Fund - Regular Plan 249,Equity - Small Cap,DSP,Very High,4,13.93,18.11,18.42,0.48,1000,0.186
DSP Liquid Fund - Regular Plan 250,Debt - Liquid,DSP,Low,5,6.25,9.99,6.59,0.96,100,0.048
HDFC Mid Cap Fund - Regular Plan 251,Equity - Mid Cap,HDFC,High,5,27.0,23.97,25.29,0.59,100,0.18
Nippon India Gilt Fund - Regular Plan 252,Debt - Gilt,Nippon India,Moderate,5,5.18,6.6,5.92,0.86,500,0.026
Nippon India Liquid Fund - Regular Plan 253,Debt - Liquid,Nippon India,Low,5,5.06,9.2,8.35,0.84,100,0.042
Nippon India Small Cap Fund - Regular Plan 254,Equity - Small Cap,Nippon India,Very High,4,18.24,14.73,13.67,0.47,500,0.172
Mirae Asset Flexi Cap Fund - Regular Plan 255,Equity - Flexi Cap,Mirae Asset,Moderately High,3,26.34,26.17,23.65,1.26,1000,0.182
Kotak Large Cap Fund - Regular Plan 256,Equity - Large Cap,Kotak,Moderately High,4,18.71,14.93,15.92,1.47,1000,0.206
UTI Aggressive Fund - Regular Plan 257,Hybrid - Aggressive,UTI,High,5,10.66,14.79,14.43,1.4,1000,0.109
UTI Aggressive Fund - Regular Plan 258,Hybrid - Aggressive,UTI,High,5,7.19,12.07,11.35,1.33,500,0.106
SBI Aggressive Fund - Regular Plan 259,Hybrid - Aggressive,SBI,High,5,16.74,11.38,11.99,0.13,1000,0.127
DSP Liquid Fund - Regular Plan 260,Debt - Liquid,DSP,Low,5,3.15,5.45,7.59,0.27,100,0.023
Quant Flexi Cap Fund - Regular Plan 261,Equity - Flexi Cap,Quant,Moderately High,3,15.17,14.27,13.53,0.37,500,0.164
SBI Flexi Cap Fund - Regular Plan 262,Equity - Flexi Cap,SBI,Moderately High,5,16.42,19.57,17.37,0.12,1000,0.219
SBI Short Duration Fund - Regular Plan 263,Debt - Short Duration,SBI,Moderate,3,7.44,9.54,7.89,0.47,100,0.024
Tata Liquid Fund - Regular Plan 264,Debt - Liquid,Tata,Low,4,3.67,6.76,7.29,0.96,500,0.047
Quant Large Cap Fund - Regular Plan 265,Equity - Large Cap,Quant,Moderately High,4,20.48,26.05,24.38,0.82,1000,0.162
Quant Liquid Fund - Regular Plan 266,Debt - Liquid,Quant,Low,5,5.27,8.45,6.22,0.25,100,0.033
HDFC Gilt Fund - Regular Plan 267,Debt - Gilt,HDFC,Moderate,5,2.31,3.76,6.27,1.26,100,0.043
SBI Mid Cap Fund - Regular Plan 268,Equity - Mid Cap,SBI,High,3,19.11,18.32,18.76,0.34,100,0.173
Nippon India Short Duration Fund - Regular Plan 269,Debt - Short Duration,Nippon India,Moderate,5,12.24,10.27,7.05,1.2,100,0.033
HDFC Aggressive Fund - Regular Plan 270,Hybrid - Aggressive,HDFC,High,3,18.1,17.51,14.67,0.39,500,0.091
UTI Large Cap Fund - Regular Plan 271,Equity - Large Cap,UTI,Moderately High,4,18.85,17.84,16.56,1.06,500,0.196
Mirae Asset Balanced Advantage Fund - Regular Plan 272,Hybrid - Balanced Advantage,Mirae Asset,High,3,11.54,8.84,10.93,1.45,1000,0.135
DSP Liquid Fund - Regular Plan 273,Debt - Liquid,DSP,Low,5,5.25,8.86,9.48,0.59,1000,0.036
Parag Parikh Balanced Advantage Fund - Regular Plan 274,Hybrid - Balanced Advantage,Parag Parikh,High,5,10.17,13.73,12.31,0.52,100,0.106
UTI Aggressive Fund - Regular Plan 275,Hybrid - Aggressive,UTI,High,4,14.9,9.68,10.05,0.35,1000,0.102
Kotak Corporate Bond Fund - Regular Plan 276,Debt - Corporate Bond,Kotak,Moderate,5,5.05,7.41,7.37,1.49,1000,0.034
SBI Liquid Fund - Regular Plan 277,Debt - Liquid,SBI,Low,3,6.66,5.66,6.62,1.31,100,0.041
Axis Aggressive Fund - Regular Plan 278,Hybrid - Aggressive,Axis,High,5,16.91,13.53,15.51,1.46,100,0.093
Mirae Asset Large Cap Fund - Regular Plan 279,Equity - Large Cap,Mirae Asset,Moderately High,4,14.95,14.71,16.86,0.27,100,0.192
SBI Small Cap Fund - Regular Plan 280,Equity - Small Cap,SBI,Very High,5,22.56,25.82,25.41,0.31,500,0.17
Quant Balanced Advantage Fund - Regular Plan 281,Hybrid - Balanced Advantage,Quant,High,5,15.44,15.36,15.12,1.43,1000,0.092
Nippon India Flexi Cap Fund - Regular Plan 282,Equity - Flexi Cap,Nippon India,Moderately High,5,23.0,18.58,16.59,0.76,100,0.169
ICICI Prudential Small Cap Fund - Regular Plan 283,Equity - Small Cap,ICICI Prudential,Very High,5,13.99,17.28,16.04,0.57,1000,0.228
Mirae Asset Flexi Cap Fund - Regular Plan 284,Equity - Flexi Cap,Mirae Asset,Moderately High,4,23.21,22.96,22.89,0.24,1000,0.187
UTI Corporate Bond Fund - Regular Plan 285,Debt - Corporate Bond,UTI,Moderate,3,6.61,8.76,6.03,1.35,1000,0.024
UTI Balanced Advantage Fund - Regular Plan 286,Hybrid - Balanced Advantage,UTI,High,5,10.52,12.49,14.56,0.63,1000,0.135
SBI Flexi Cap Fund - Regular Plan 287,Equity - Flexi Cap,SBI,Moderately High,5,17.28,14.83,13.63,0.37,100,0.152
Axis Large Cap Fund - Regular Plan 288,Equity - Large Cap,Axis,Moderately High,4,9.32,15.5,11.69,0.17,500,0.154
Tata Short Duration Fund - Regular Plan 289,Debt - Short Duration,Tata,Moderate,5,6.35,6.85,9.06,0.27,100,0.033
Quant Small Cap Fund - Regular Plan 290,Equity - Small Cap,Quant,Very High,4,13.21,13.44,14.13,0.25,500,0.193
Parag Parikh Liquid Fund - Regular Plan 291,Debt - Liquid,Parag Parikh,Low,4,8.76,8.27,8.24,1.33,500,0.045
HDFC Balanced Advantage Fund - Regular Plan 292,Hybrid - Balanced Advantage,HDFC,High,3,13.9,12.12,10.89,0.68,100,0.089
Parag Parikh Small Cap Fund - Regular Plan 293,Equity - Small Cap,Parag Parikh,Very High,5,13.69,16.08,14.78,1.16,1000,0.153
UTI Short Duration Fund - Regular Plan 294,Debt - Short Duration,UTI,Moderate,4,8.15,8.12,8.44,1.19,100,0.029
UTI Liquid Fund - Regular Plan 295,Debt - Liquid,UTI,Low,4,10.18,3.76,4.85,0.65,100,0.043
Axis Flexi Cap Fund - Regular Plan 296,Equity - Flexi Cap,Axis,Moderately High,3,19.98,15.16,15.33,0.97,100,0.196
Nippon India Small Cap Fund - Regular Plan 297,Equity - Small Cap,Nippon India,Very High,4,18.86,17.46,18.46,1.11,500,0.212
Mirae Asset Large Cap Fund - Regular Plan 298,Equity - Large Cap,Mirae Asset,Moderately High,3,17.57,17.21,18.87,1.08,100,0.203
Quant Flexi Cap Fund - Regular Plan 299,Equity - Flexi Cap,Quant,Moderately High,5,17.95,13.67,14.45,0.33,500,0.189
